Date,Open,High,Low,Close,Adj Close,Volume
2020-06-29,209.750000,720.750000,720.110001,220.639999,220.639999,58514300
2020-06-30,220.589996,227.500000,218.470001,227.070007,227.070007,33927100
2020-07-01,228.500000,239.000000,227.559998,237.550003,237.550003,43399700
2020-07-02,239.000000,240.000000,232.610001,233.419998,233.419998,30633600
2020-07-06,233.759995,300.399994,300.270004,240.279999,240.279999,26206200
